title,release_date,developer,publisher,tags,bundle,music
Scorchlands Demo,"24 Aug, 2022",Ringlab,Star Drifters,"Casual,Strategy,Simulation,City Builder,Sandbox,Grand Strategy,Colony Sim,Puzzle,Exploration,Immersive Sim,3D,Stylized,Top-Down,Building,Fantasy,Logic,Management,Base Building,Procedural Generation,Open World",,
Arise: A Simple Story,"3 Dec, 2020",Piccolo Studio,Untold Tales,"Emotional,3D Platformer,Time Manipulation,Exploration,Cute,Puzzle Platformer,Relaxing,Local Co-Op,Story Rich,Platformer,Surreal,Drama,Nature,Colorful,Adventure,Singleplayer,Narration,Family Friendly,Third Person,Indie",,Buy Arise
Flooded,"12 Apr, 2023",Artificial Disasters,Artificial Disasters,"RTS,City Builder,Time Management,Resource Management,Management,Building,Pixel Graphics,Isometric,Immersive Sim,Real Time Tactics,Colony Sim,Economy,Strategy,Colorful,2D,God Game,Simulation,Base Building,Clicker,Singleplayer",,Buy Flooded
Rogue AI Simulator,"11 Jan, 2023",Nerdook Productions,Surefire.Games,"Simulation,Resource Management,Political Sim,Artificial Intelligence,God Game,Colony Sim,Base Building,RPG,Building,Management,Strategy,Procedural Generation,Roguelite,Choices Matter,Multiple Endings,Cute,Dark Humor,2D,Singleplayer,Outbreak Sim",,Buy Rogue AI Simulator
Golf Club Nostalgia,"3 Sep, 2021",Demagog Studio,Untold Tales,"Puzzle Platformer,2D Platformer,Atmospheric,Dystopian,Casual,Soundtrack,Story Rich,Post-apocalyptic,Dark Comedy,Platformer,Narration,Physics,Adventure,Puzzle,2D,Colorful,Stylized,Sci-fi,Golf,Singleplayer",,Buy Golf Club Nostalgia
Primateria,"8 Jan, 2024",Yfrit Games,Surefire.Games,"Card Battler,Dungeon Crawler,Roguelite,Exploration,Card Game,Strategy,Roguelike,2D,Lore-Rich,Choices Matter,Colorful,Hand-drawn,Fantasy,Magic,Inventory Management,Singleplayer,Indie,Deckbuilding,Turn-Based Strategy,Medieval",,
Heroes of Eternal Quest,"23 Jan, 2024",Drakkar Game Studio,Surefire.Games,"Tactical,Deckbuilding,Roguelike,Choices Matter,Strategy,Resource Management,RPG,Auto Battler,Strategy RPG,Tactical RPG,Roguelite,Singleplayer,Base Building,JRPG,Card Game,3D,Anime,Swordplay,Fantasy,Combat",,
Cursed Treasure 2 Ultimate Edition - Tower Defense,"14 Jul, 2022",IriySoft,Surefire.Games,"Tower Defense,Dark,Top-Down,Colorful,Medieval,Casual,PvE,Singleplayer,Action,Cartoony,2D,Fantasy,Funny,Magic,2D Platformer,Cartoon,Comedy,Auto Battler,Pixel Graphics,Strategy",,
Highwater,"14 Mar, 2024",Demagog Studio,"Rogue Games, Inc.","Action,Adventure,Action-Adventure,Puzzle,Turn-Based Tactics,Exploration,3D,Minimalist,Stylized,Third Person,Atmospheric,Post-apocalyptic,Turn-Based Combat,Tactical,Singleplayer,Anime,Funny,Naval Combat,Female Protagonist,Remake",,Buy Highwater
The Cub,"19 Jan, 2024",Demagog Studio,Untold Tales,"Singleplayer,Post-apocalyptic,Story Rich,Precision Platformer,Soundtrack,Dystopian,Adventure,Atmospheric,Exploration,Narration,Puzzle,Comic Book,Platformer,Colorful,Puzzle Platformer,Controller,2D Platformer,Stylized,Arcade,2D",,Buy The Cub
Golf VS Zombies,"15 Sep, 2023",Sleepwalking Potatoes,Untold Tales,"Golf,Zombies,Sports,Dark Humor,Horror,Post-apocalyptic,Action,Casual,Funny,Simulation,Arcade,Shoot 'Em Up,Third-Person Shooter,3D,Comic Book,Third Person,Aliens,America,Comedy,Dark Comedy",,Buy Golf VS Zombies
Cursed Treasure 2,"25 Jul, 2017",IriySoft,Armor Games Studios,"Strategy,Tower Defense,Indie,2D,Real-Time,RTS,Singleplayer,Top-Down,Real-Time with Pause,Fantasy,Replay Value,Resource Management,Cult Classic",,Buy Cursed Treasure 2
Pocket Mini Golf,"20 May, 2024",Vivid Games,QubicGames,"Casual,Sports,Local Multiplayer,Mini Golf,Arcade,3D,Family Friendly,Relaxing,Stylized,Score Attack,Simulation,Puzzle,Puzzle Platformer,Minimalist,Third Person,Physics,Singleplayer,Immersive Sim,Abstract,Golf",,Buy Pocket Mini Golf
Kong: Survivor Instinct,"22 Oct, 2024",7Levels,7Levels,"Metroidvania,Singleplayer,Exploration,Platformer,Adventure,Action-Adventure,Action,Beat 'em up,Arcade,2D Platformer,Atmospheric,Story Rich,2D,2.5D,Sci-fi,Realistic,Stealth,Indie,Cinematic,Survival Horror",,Buy Kong: Survivor Instinct
Golf Guys,"20 May, 2024",VOODOO,QubicGames,"Casual,Local Multiplayer,Sports,Golf,Mini Golf,Funny,Arcade,Party Game,3D,Stylized,Racing,PvP,Character Customization,PvE,Singleplayer,Family Friendly,4 Player Local,Split Screen,Physics,Difficult",,Buy Golf Guys
Unicorns on Unicycles,"28 Sep, 2021",Weyrdworks,Weyrdworks,"Local Multiplayer,Physics,Experimental,Funny,PvP,Spectacle fighter,Horses,Casual,Arcade,Fighting,Cute,2D Fighter,Action,Colorful,Fantasy,Comedy,Cartoon,Combat,Multiplayer,Cartoony",,Buy Unicorns on Unicycles
Fisti-Fluffs,"23 Sep, 2021",Playfellow Studio,"Rogue Games, Inc.","Action,Casual,Simulation,Fighting,Battle Royale,Beat 'em up,Cartoon,Cartoony,Cats,Colorful,Cute,Hand-drawn,Stylized,Destruction,Dog,Family Friendly,Sports,Funny,Memes,Arcade",,Buy Fisti Fluffs
Under: Depths of Fear,"26 Oct, 2020",Globiss Interactive,"Rogue Games, Inc.","Action,Adventure,Indie,Horror,First-Person,Story Rich,Historical,Singleplayer,Psychological Horror,FPS,Survival Horror,Atmospheric,Violent,Action-Adventure,Survival,World War I,Immersive,Strategy,Gore,Puzzle",,Buy Under
Super Impossible Road,"11 May, 2016",Wonderful Lasers,"Rogue Games, Inc.","Racing,Arcade,Split Screen,Action,Sci-fi,Futuristic,Multiplayer,Singleplayer,Fast-Paced,Indie,Local Multiplayer,4 Player Local,Early Access,Procedural Generation,Competitive,Driving,Soundtrack,Cyberpunk,Great Soundtrack,Third Person",,Buy SUPER IMPOSSIBLE ROAD
Wonderputt Forever,"2 Dec, 2022",Damp Gnat,"Rogue Games, Inc.","Sports,Casual,Mini Golf,Clicker,Isometric,Indie,Puzzle,Golf,Arcade,Relaxing,Colorful,Physics,Singleplayer,Nostalgia",,Buy Wonderputt Forever
Super Mega Zero,"20 Apr, 2022",Silkworm,"Rogue Games, Inc.","Side Scroller,Precision Platformer,On-Rails Shooter,Shoot 'Em Up,2D Platformer,Puzzle Platformer,Puzzle,Difficult,Platformer,Shooter,2D,Controller,Action,Pixel Graphics,Building,Adventure,Retro,Singleplayer,Replay Value,Indie",,
Harlow,"14 Mar, 2022",Arman Nobari,"Rogue Games, Inc.","Adventure,2D Platformer,Space,Physics,Puzzle Platformer,Atmospheric,Relaxing,Platformer,Singleplayer,Puzzle,Stylized,Casual,Colorful,Robots,Multiple Endings,Cinematic,Action,Logic,Cute,Nostalgia",,Buy Harlow
Dust & Neon,"16 Feb, 2023",David Marquardt Studios,"Rogue Games, Inc.","3D,Action RPG,RPG,Twin Stick Shooter,Action Roguelike,Roguelite,Difficult,Shooter,Roguelike,Isometric,Action,Western,Top-Down,Loot,Singleplayer,Bullet Hell,Pixel Graphics,Dungeon Crawler,Indie,Atmospheric",,Buy Dust & Neon
Arcanium: Rise of Akhan,"8 Dec, 2020","Supercombo, Inc.","Rogue Games, Inc.","Loot,Trading Card Game,Card Battler,Tactical RPG,Roguelite,Card Game,Turn-Based Strategy,Roguelike,Strategy,RPG,Turn-Based Combat,Deckbuilding,Colorful,Hand-drawn,Fantasy,Tactical,Magic,Family Friendly,Adventure,Singleplayer",,Buy Arcanium
Homebody,"1 Jun, 2023",Game Grumps,"Rogue Games, Inc.","Psychological Horror,Puzzle,Story Rich,Exploration,Point & Click,Violent,Time Manipulation,Narrative,Escape Room,Survival Horror,Choices Matter,Thriller,Minimalist,Mystery,Atmospheric,Drama,Adventure,Singleplayer,Romance,Indie",,Buy Homebody
SPRAWL,"23 Aug, 2023",MAETH,"Rogue Games, Inc.","Controller,Sci-fi,Combat,FPS,Cyberpunk,Shooter,Old School,Futuristic,Boomer Shooter,Dystopian,First-Person,Arena Shooter,Pixel Graphics,Fast-Paced,Action,3D,Assassin,Singleplayer,Hacking,Military",,Buy SPRAWL
Cookie Cutter,"14 Dec, 2023",Subcult Joint LTD,"Rogue Games, Inc.","Metroidvania,RPG,Action,Platformer,Action-Adventure,Female Protagonist,2D,Violent,Singleplayer,Dark,Gore,Adventure,Indie,Nudity,Blood,Dark Comedy,Soundtrack,Comedy,LGBTQ+,Combat",,Buy Cookie Cutter
Dream Daddy: A Dad Dating Simulator,"20 Jul, 2017",Game Grumps,Game Grumps,"LGBTQ+,Dating Sim,Sexual Content,Romance,Simulation,Visual Novel,Character Customization,Indie,Memes,Casual,Funny,Choices Matter,Cute,NSFW,Singleplayer,Nudity,Mature,Story Rich,Multiple Endings,Comedy",,Buy Dream Daddy: A Dad Dating Simulator
Monster Prom,"27 Apr, 2018",Beautiful Glitch,Xelu,"Dating Sim,Comedy,LGBTQ+,Multiplayer,Choices Matter,Visual Novel,Funny,Indie,Simulation,Sexual Content,Local Multiplayer,Fantasy,Demons,Story Rich,Vampire,Online Co-Op,Zombies,Nudity,Great Soundtrack,Life Sim",,
Haven,"3 Dec, 2020",The Game Bakers,The Game Bakers,"Romance,Action-Adventure,RPG,Story Rich,LGBTQ+,Cyberpunk,Local Co-Op,Exploration,Sci-fi,Singleplayer,Third Person,Sexual Content,Atmospheric,JRPG,Interactive Fiction,3D,Multiple Endings,Comedy,Choices Matter,Open World",,Buy Haven
Pesterquest,"4 Sep, 2019","What Pumpkin Games, Inc.",Fellow Traveller,"Indie,Adventure,RPG,Visual Novel,Story Rich,Time Travel,LGBTQ+,Comedy,Funny,Sci-fi,Great Soundtrack,Anime",,Buy Pesterquest
Coffee Talk,"29 Jan, 2020",Toge Productions,Toge Productions,"Conversation,Pixel Graphics,Visual Novel,Atmospheric,Relaxing,Story Rich,Interactive Fiction,LGBTQ+,Casual,Choices Matter,Singleplayer,Multiple Endings,Simulation,Emotional,Anime,Fantasy,Indie,Philosophical,Experimental,Crafting",,Buy Coffee Talk
VA-11 Hall-A: Cyberpunk Bartender Action,"21 Jun, 2016",Sukeban Games,Ysbryd Games,"Cyberpunk,Visual Novel,Pixel Graphics,Story Rich,Female Protagonist,Dystopian,LGBTQ+,Choices Matter,Point & Click,Casual,Simulation,Anime,Memes,Transhumanism,2D,Life Sim,Adventure,Cute,Funny,Sci-fi",,Buy VA-11 HALL-A
ANNO: Mutationem,"16 Mar, 2022",ThinkingStars,Lightning Games,"RPG,Female Protagonist,Cyberpunk,Pixel Graphics,Action-Adventure,2.5D,Story Rich,Anime,Indie,Action,Adventure,Singleplayer,Stylized,2D Platformer,Action RPG,Exploration,Futuristic,Lore-Rich,Sci-fi,Spectacle fighter",,
Anomaly Agent,"24 Jan, 2024",Phew Phew Games,Phew Phew Games,"Action Roguelike,Side Scroller,2D Platformer,Souls-like,Hack and Slash,Platformer,Roguelite,2D Fighter,Action RPG,Roguelike,Action-Adventure,2D,Cyberpunk,Conversation,Choices Matter,Controller,Linear,Story Rich,Multiple Endings,Action",,Buy Anomaly Agent
TEVI,"29 Nov, 2023",CreSpirit,CreSpirit,"Metroidvania,Anime,Pixel Graphics,Action-Adventure,Bullet Hell,2D,Story Rich,Side Scroller,Female Protagonist,Colorful,Singleplayer,Drama,Platformer,Action,Fantasy,Steampunk,Magic,Combat,Exploration,Adventure",,
BZZZT,"13 Nov, 2023",KO.DLL,CINEMAX GAMES,"Precision Platformer,Score Attack,Pixel Graphics,Soundtrack,2D Platformer,Difficult,Funny,Time Attack,Controller,2D,Cute,Colorful,Fast-Paced,Action,Platformer,Indie,Robots,Singleplayer,Arcade,Perma Death",,Buy BZZZT
Jets'n'Guns Gold,"5 Feb, 2014",Rake in Grass,Rake in Grass,"Shoot 'Em Up,Great Soundtrack,Side Scroller,Action,Indie,Bullet Hell,Difficult,2D,Arcade,Old School,Space,Shooter,Sci-fi,Comedy,Retro,Singleplayer,Gore",,Buy Jets'n'Guns Gold
Jets'n'Guns 2,"24 Jul, 2020",Rake in Grass,Rake in Grass,"Action,Indie,Shoot 'Em Up,Great Soundtrack,Side Scroller,Bullet Hell,Colorful,2D,War,Violent,Difficult,Early Access",,Buy Jets'n'Guns 2
Silent Sector,"17 Feb, 2021",Rake in Grass,Rake in Grass,"Indie,RPG,Sci-fi,Action RPG,Action,Space,Open World,Simulation,Pirates,Space Sim,Top-Down Shooter,Aliens,Bullet Hell,Old School,2D,Top-Down,Singleplayer,Sandbox,Controller,Exploration",,
Diamond Joyce and the Secret of Crystal Cave,"16 Sep, 2016",Rake in Grass,Rake in Grass,"Adventure,Indie,Casual,Strategy,Puzzle",,Buy Diamond Joyce and the Secrets of Crystal Cave
Archibald's Adventures,"10 Jun, 2016",Rake in Grass,Rake in Grass,"Indie,Casual,Action,Adventure,Platformer,Puzzle",,Buy Archibald's Adventures
Loot Hunter,"23 Jan, 2015",Rake in Grass,Rake in Grass,"Casual,Strategy,Indie,Match 3",,Buy Loot Hunter
Rampage Knights,"4 Sep, 2015",Rake in Grass,Rake in Grass,"Co-op,Action Roguelike,Action,Beat 'em up,Roguelike,Multiplayer,Indie,Adventure,RPG,Local Co-Op,Online Co-Op,Roguelite,Dungeon Crawler,2D,Funny,Hack and Slash,Difficult,Dwarf,Side Scroller,Procedural Generation",,Buy Rampage Knights
Northmark: Hour of the Wolf,"2 Aug, 2014",Rake in Grass,Rake in Grass,"Card Battler,RPG,Indie,Adventure,Card Game,Casual,Deckbuilding,Board Game,Short",,Buy Northmark: Hour of the Wolf
Last Command,"25 Oct, 2022",CreSpirit,CreSpirit,"Bullet Hell,Action-Adventure,Difficult,Anime,Pixel Graphics,Female Protagonist,Souls-like,Combat,Singleplayer,Drama,Soundtrack,Indie,Multiple Endings,Cartoon,Action,Arcade,Hacking,2D,Sci-fi,RPG",,Buy Last Command
Rabi-Ribi,"28 Jan, 2016",CreSpirit,CreSpirit,"Anime,Metroidvania,Bullet Hell,Female Protagonist,Pixel Graphics,Exploration,Cute,Indie,Action-Adventure,Side Scroller,Action,Singleplayer,Platformer,Adventure,Difficult,2D,Fantasy,Crowdfunded,Colorful,Magic",,Buy Rabi-Ribi
Minishoot' Adventures,"2 Apr, 2024",SoulGame Studio,SoulGame Studio,"Exploration,Bullet Hell,Twin Stick Shooter,Metroidvania,Adventure,RPG,Top-Down,Cute,Casual,2D,Nonlinear,Top-Down Shooter,Colorful,Open World,Minimalist,Shooter,Action,Shoot 'Em Up,Retro,Fantasy",,
Coffee Talk Episode 2: Hibiscus & Butterfly,"20 Apr, 2023",Toge Productions,Toge Productions,"Conversation,Relaxing,Pixel Graphics,Interactive Fiction,Visual Novel,Atmospheric,Simulation,LGBTQ+,2D,Choices Matter,Story Rich,Casual,Fantasy,Anime,Emotional,Drama,Colorful,Singleplayer,Adventure,Indie",,
Swords & Souls: Neverseen,"22 Jul, 2019",SoulGame Studio,Armor Games Studios,"Indie,RPG,Turn-Based Combat,Character Customization,Action RPG,Singleplayer,Turn-Based,Idler,Funny,2D,Fantasy,Casual,Strategy,Relaxing,Minigames,Cartoony,Colorful,Strategy RPG,Archery,Action",,Buy Swords & Souls: Neverseen
HIVESWAP: ACT 2,"25 Nov, 2020","What Pumpkin Games, Inc.","What Pumpkin Games, Inc.","Adventure,Point & Click,Visual Novel,RPG,Story Rich,Comedy,Indie,Soundtrack,2D,Hand-drawn,Colorful,Puzzle,Narrative,Female Protagonist,Investigation,LGBTQ+,Sci-fi,Atmospheric,Exploration,Singleplayer",,Buy HIVESWAP: Act 2
Tavern Talk,,Gentle Troll Entertainment,,"Singleplayer,Fantasy,Visual Novel,Cozy,LGBTQ+,Multiple Endings,Atmospheric,Life Sim,Colorful,Relaxing,Conversation,Anime,Cartoony,Simulation,2D,Choices Matter,Emotional,Interactive Fiction,Story Rich,Adventure",,
HIVESWAP: ACT 1,"14 Sep, 2017","What Pumpkin Games, Inc.","What Pumpkin Games, Inc.","Adventure,Point & Click,Great Soundtrack,RPG,Indie,Female Protagonist,Memes,Aliens,Story Rich,Cute,2D,Singleplayer,Puzzle,Atmospheric,Exploration,Sci-fi,Colorful,Family Friendly,Difficult,Psychological Horror",,
Hiveswap Friendsim,"13 Apr, 2018","What Pumpkin Games, Inc.",Fellow Traveller,"Visual Novel,Indie,Simulation,Violent,Adventure,Dating Sim,RPG,Casual,Psychological Horror,Memes,Singleplayer,LGBTQ+,Great Soundtrack,Story Rich,Music,Anime,Cartoon,Cute,First-Person,Funny",,Buy Hiveswap Friendsim Complete
Monster Prom 3: Monster Roadtrip,"21 Oct, 2022",Beautiful Glitch,Beautiful Glitch,"Visual Novel,LGBTQ+,Comedy,Multiplayer,Choices Matter,Dating Sim,Story Rich,Dark Humor,Funny,Multiple Endings,Memes,Choose Your Own Adventure,Romance,Survival,Indie,Comic Book,Resource Management,2D,Simulation,Text-Based",,
Monster Prom 2: Monster Camp,"23 Oct, 2020",Beautiful Glitch,Beautiful Glitch,"Dating Sim,LGBTQ+,Comedy,Multiplayer,Indie,Multiple Endings,Online Co-Op,Visual Novel,Casual,Funny,Singleplayer,Dark Comedy,Text-Based,Romance,2D,Fantasy,Choose Your Own Adventure,Story Rich,Sequel,Simulation",,
Backpack Hero,,Jaspel,,"Replay Value,Turn-Based,Roguelike Deckbuilder,Deckbuilding,Inventory Management,2D,Fantasy,Roguelike,Strategy,Building,Choices Matter,Turn-Based Strategy,Casual,Roguelite,Procedural Generation,Singleplayer,Card Battler,Controller,Female Protagonist,Moddable",,Buy Backpack Hero
Peglin,"27 Aug, 2024",Red Nexus Games Inc.,Red Nexus Games Inc.,"Deckbuilding,Roguelite,Roguelike,Pinball,Strategy,Turn-Based,Perma Death,Pixel Graphics,Cute,2D,Replay Value,RPG,Turn-Based Combat,Physics,Singleplayer,Fantasy,Retro,Early Access,Indie,Casual",,Buy Peglin
Moon Watch,,Jaspel,,"Early Access,Strategy,Roguelike,Deckbuilding,Action Roguelike,Roguelike Deckbuilder,Card Battler,Bullet Hell,Dungeon Crawler,Roguelite,Card Game,Arcade,RPG,2D,Top-Down,Controller,Time Manipulation,Procedural Generation,Action,Tactical",,Buy Moon Watch
Lumencraft,"28 Feb, 2023",2Dynamic Games,Star Drifters,"Exploration,Action,Action RPG,Sandbox,Tower Defense,Strategy,Thriller,Base Building,Action Roguelike,Top-Down Shooter,Combat,Survival,Colorful,Atmospheric,Realistic,2D,Early Access,Indie,Shooter,RPG",,
Danger Scavenger,"25 Mar, 2021",Piotr Wolk,Star Drifters,"Shoot 'Em Up,Controller,Action Roguelike,Roguelite,Top-Down,Perma Death,Colorful,Stylized,Looter Shooter,Bullet Hell,Cyberpunk,Twin Stick Shooter,Top-Down Shooter,Shooter,Arcade,Roguelike,Character Customization,Robots,3D,Procedural Generation",,
Nomads of Driftland,"7 Dec, 2020",Star Drifters,Star Drifters,"Simulation,Exploration,RTS,Real-Time,Strategy RPG,Strategy,Fantasy,Top-Down,Dragons,Time Manipulation,Magic,Stylized,Cute,Level Editor,Class-Based,Moddable,Singleplayer,Indie,Flight,Colorful",,
Tangledeep,"1 Feb, 2018",Impact Gameworks,Impact Gameworks,"Traditional Roguelike,Turn-Based Tactics,Mystery Dungeon,Dungeon Crawler,Difficult,Turn-Based,Roguelike,Female Protagonist,RPG,Turn-Based Strategy,2D,Cute,Top-Down,Turn-Based Combat,Pixel Graphics,Controller,Fantasy,Loot,Tactical,Colorful",,Buy Tangledeep
MidBoss,"25 May, 2017",Kitsune Games,Kitsune Games,"Traditional Roguelike,Roguelike,Indie,RPG,Turn-Based,Dungeon Crawler,Procedural Generation,Pixel Graphics,Isometric,Singleplayer,Perma Death,2D,Fantasy,Strategy,Adventure,LGBTQ+,Turn-Based Strategy,Difficult,Inventory Management,Loot",,Buy MidBoss
Sproggiwood,"24 Oct, 2014",Freehold Games,Freehold Games,"Turn-Based,Procedural Generation,Grid-Based Movement,Traditional Roguelike,Roguelike,RPG,Indie,Strategy,Cute,Turn-Based Combat,Tactical,Turn-Based Tactics,Fantasy,Great Soundtrack,Perma Death,Loot,Turn-Based Strategy,Replay Value,Tactical RPG,Story Rich",,Buy Sproggiwood
Dungeonmans,"9 Dec, 2014",Adventurepro Games LLC,Adventurepro Games LLC,"Traditional Roguelike,Roguelike,Grid-Based Movement,RPG,Indie,Turn-Based,Strategy,Adventure,Loot,Dungeon Crawler,Singleplayer,2D,Pixel Graphics",,Buy Dungeonmans
Ultra Hat Dimension,"16 Jul, 2020",Kitsune Games,Kitsune Games,"Casual,2D,Cute,Top-Down,Funny,Relaxing,Story Rich,Surreal,Puzzle,Colorful,Minimalist,Pixel Graphics,Fantasy,Magic,Moddable,Comedy,Old School,Retro,Singleplayer,Simulation",,Buy Ultra Hat Dimension
UnReal World,"26 Feb, 2016",Sami Maaranen (creator),Enormous Elk,"Open World,Survival,Roguelike,RPG,Sandbox,Immersive Sim,Open World Survival Craft,Traditional Roguelike,Historical,Crafting,Turn-Based,Procedural Generation,Perma Death,Building,Adventure,Nature,Top-Down,Singleplayer,Strategy,Base Building",,Buy UnReal World
Tales of Maj'Eyal,"31 Dec, 2012",Netcore Games,Netcore Games,"Traditional Roguelike,Turn-Based,Roguelike,Dungeon Crawler,Perma Death,Difficult,RPG,Procedural Generation,2D,Top-Down,Fantasy,Open World,Loot,Tactical,Moddable,Adventure,Singleplayer,Indie,Replay Value,Character Customization",,Buy Tales of Maj'Eyal
Kitsune Tails,"1 Aug, 2024",Kitsune Games,Kitsune Games,"Precision Platformer,LGBTQ+,Pixel Graphics,Difficult,Fantasy,Platformer,Female Protagonist,2D Platformer,Singleplayer,2D,Story Rich,Adventure,Cute,Fast-Paced,Atmospheric,Indie,Action,Side Scroller,Retro,Exploration",,Buy Kitsune Tails
Super Bernie World,"9 Mar, 2020",Gamedevs for Bernie,Kitsune Games,"Free to Play,Indie,Action,Adventure,2D Platformer,Political,Psychological Horror,Platformer,Pixel Graphics,Retro,Memes,Singleplayer,Side Scroller,Old School,Sexual Content,2D,Cartoony,Arcade,Short,Casual",,
LIBERATED,"30 Jul, 2020",Atomic Wolf,Walkabout,"Conspiracy,Comic Book,Action-Adventure,Hand-drawn,Noir,Third-Person Shooter,Side Scroller,Cyberpunk,Dystopian,Platformer,2.5D,Story Rich,Dark,Puzzle Platformer,Sci-fi,Atmospheric,Stylized,Combat,Bullet Hell,Hacking",,
Wanderlust: Transsiberian,"9 Apr, 2020",Different Tales,Different Tales,"Interactive Fiction,Narration,Experimental,Choices Matter,Minimalist,Visual Novel,Mature,Relaxing,Text-Based,Psychological,Choose Your Own Adventure,Emotional,Philosophical,Conversation,Nonlinear,Adventure,Indie,Atmospheric,Experience,Short",,Buy Wanderlust: Transsiberian
NecroWorm,"18 May, 2017",postpunkpl,Walkabout,"Logic,Puzzle,Old School,Funny,Cartoon,Difficult,Arcade,Horror,Dark Humor,Retro,2D,Indie,Comedy,Singleplayer,Colorful,Casual,Action,Adventure,Dungeon Crawler,Precision Platformer",,Buy NecroWorm
Wanderlust: Travel Stories,"26 Sep, 2019",Different Tales,Different Tales,"Adventure,Visual Novel,Interactive Fiction,Choose Your Own Adventure,Realistic,Text-Based,Documentary,Relaxing,Choices Matter,Nature,Education,Exploration,Casual,Point & Click,Narration,Experimental,LGBTQ+,Story Rich,Capitalism,Multiple Endings",,Buy Wanderlust: Travel Stories
Werewolf: The Apocalypse — Heart of the Forest,"13 Oct, 2020",Different Tales,Different Tales,"Story Rich,Visual Novel,Choices Matter,RPG,Interactive Fiction,Multiple Endings,Surreal,Choose Your Own Adventure,Dark Fantasy,Thriller,Narration,Female Protagonist,Werewolves,Text-Based,Supernatural,Tabletop,Investigation,Mystery,Replay Value,Emotional",,
Werewolf: The Apocalypse — The Book of Hungry Names,"25 Apr, 2024",Choice of Games,Choice of Games,"Adventure,Casual,Werewolves,RPG,Choose Your Own Adventure,Text-Based,Dystopian,Interactive Fiction,Supernatural,Character Customization,Choices Matter,Violent,Indie,Multiple Endings,Story Rich,Singleplayer",,
Werewolf: The Apocalypse — Purgatory,"23 Jul, 2024",Different Tales,Different Tales,"RPG,Thriller,Choices Matter,Story Rich,Interactive Fiction,Multiple Endings,Visual Novel,Replay Value,Werewolves,Surreal,Text-Based,Female Protagonist,Choose Your Own Adventure,Dark Fantasy,Adventure,Investigation,Mystery,Lore-Rich,Horror,Hand-drawn",,
Lies Under Ice,"7 Dec, 2023",Choice of Games,Choice of Games,"RPG,Interactive Fiction,Text-Based,Choices Matter,Action,Multiple Endings,Casual,Story Rich,Diplomacy,Management,Political,Sci-fi,Lore-Rich,Space,Adventure,Drama,Futuristic,Singleplayer,Indie",,
"Restore, Reflect, Retry","11 Jul, 2024",Choice of Games,Choice of Games,"RPG,Interactive Fiction,Puzzle,Choose Your Own Adventure,First-Person,Text-Based,Atmospheric,Cyberpunk,Dark Fantasy,Game Development,Gothic,Horror,Investigation,Lore-Rich,Mystery,Supernatural,Surreal,Character Customization,Choices Matter,Multiple Endings",,"Buy Restore, Reflect, Retry"
Unsupervised,"13 Jun, 2024",Choice of Games,Choice of Games,"Superhero,Adventure,RPG,Text-Based,Casual,Choose Your Own Adventure,Comic Book,Time Travel,Interactive Fiction,Indie,Singleplayer",,
Atlantis Academy,"9 Nov, 2023",Choice of Games,Choice of Games,"RPG,Interactive Fiction,Choose Your Own Adventure,First-Person,Text-Based,Fantasy,Magic,Character Customization,Choices Matter,Indie,Casual,Adventure,Multiple Endings,Story Rich,Singleplayer",,Buy Atlantis Academy
On the Run: Rogue Heroes,"21 Mar, 2024",Choice of Games,Choice of Games,"RPG,Interactive Fiction,Choose Your Own Adventure,Text-Based,Superhero,Character Customization,Choices Matter,Multiple Endings,Indie,Adventure,Singleplayer",,
The Ghost and the Golem,"8 Aug, 2024",Choice of Games,Choice of Games,"Adventure,Casual,RPG,Interactive Fiction,Choose Your Own Adventure,Text-Based,Faith,Historical,Mythology,Female Protagonist,Indie,Multiple Endings,Story Rich,Singleplayer",,Buy The Ghost and the Golem
VERSUS: The Deathscapes,"27 May, 2021",Choice of Games,Choice of Games,"Action,Adventure,Casual,RPG,Interactive Fiction,Text-Based,Choose Your Own Adventure,Sci-fi,Indie,Superhero,Singleplayer",,
Vampire: The Masquerade — Sins of the Sires,"24 Mar, 2022",Choice of Games,Choice of Games,"Casual,RPG,Interactive Fiction,Vampire,Action-Adventure,Text-Based,Story Rich,Choices Matter,Drama,Action,Transhumanism,Multiple Endings,Dark Fantasy,Political,Sci-fi,Adventure,Diplomacy,Supernatural,Singleplayer,Indie",,Buy Vampire: The Masquerade — Sins of the Sires
Vampire: The Masquerade — Out for Blood,"29 Jul, 2021",Choice of Games,Choice of Games,"RPG,Indie,Casual,Adventure,Text-Based,Interactive Fiction,Vampire,Choose Your Own Adventure",,Buy Vampire: The Masquerade — Out for Blood
Jolly Good: Cakes and Ale,"12 Nov, 2020",Choice of Games,Choice of Games,"RPG,Interactive Fiction,Text-Based,Choices Matter,Story Rich,Romance,Comedy,Character Customization,Funny,Indie,Conversation,Singleplayer,Multiple Endings,Choose Your Own Adventure",,Buy Jolly Good: Cakes and Ale
Vampire: The Masquerade — Parliament of Knives,"28 Oct, 2021",Choice of Games,Choice of Games,"Indie,RPG,Adventure,Casual,Text-Based,Choose Your Own Adventure,Vampire,Interactive Fiction,Choices Matter,Horror,Story Rich,Singleplayer",,
